key,de
1tnk,Leichter Panzer
2tnk,Mittlerer Panzer
3tnk,Schwerer Panzer
4tnk,Mammut-Panzer
afld,Flugfeld
agun,Flak
ant,Riesenameise
apc,MTW
apwr,Fortschrittliches Kraftwerk
arty,Artillerie
atef,Attrappe: Alliiertes Tech-Zentrum
atek,Alliiertes Tech-Zentrum
barr,Sowjetische Kaserne
bio,Biolabor
brik,Betonmauer
ca,Kreuzer
ctnk,Chronopanzer
dd,Zerstörer
dog,Hund
dome,Radarkuppel
domf,Attrappe: Radarkuppel
dtrk,Dynamit-Lkw
e1,Schütze
e2,Grenadier
e3,Raketenschütze
e4,Flammenwerfer
e6,Pionier
e7,Tanya
e7.noautotarget,Tanya
facf,Attrappe: Bauhof
fact,Bauhof
fapw,Attrappe: Fortschrittliches Kraftwerk
fcom,Vorgeschobenes Kommando
fenc,Zaun
fix,Reparaturwerkstatt
fixf,Attrappe: Reparaturwerkstatt
fpwr,Attrappe: Kraftwerk
ftrk,Flakpanzer
ftur,Flammenturm
gap,Tarngenerator
gun,Geschützturm
harv,Sammler
hbox,Getarnter Bunker
heli,Longbow
hind,Hind
hosp,Krankenhaus
hpad,Helipad
iron,Eiserner Vorhang
jeep,Jeep
kenn,Hundezwinger
lst,Landungsschiff
mcv,MBF
mech,Mechaniker
medi,Sanitäter
mgg,Mobiler Tarngenerator
mh60,Black Hawk
mig,MiG-Kampfflugzeug
miss,Kommunikationszentrum
mnly,Minenleger
mrj,Radar-Störsender
mslf,Attrappe: Raketensilo
mslo,Raketensilo
msub,Raketen-U-Boot
oilb,Ölbohrturm
pbox,Bunker
pdof,Attrappe: Chronosphäre
pdox,Chronosphäre
powr,Kraftwerk
proc,Erzraffinerie
pt,Kanonenboot
qtnk,MAD-Panzer
sam,SAM-Stellung
sbag,Sandsack
shok,Schocktruppe
silo,Erzsilo
spef,Attrappe: U-Boot-Bunker
spen,U-Boot-Bunker
spy,Spion
ss,U-Boot
stek,Sowjetisches Tech-Zentrum
stnk,Phasen-Panzer
syrd,Werft
syrf,Attrappe: Werft
tenf,Attrappe: Alliierte Kaserne
tent,Alliierte Kaserne
thf,Dieb
tran,Chinook
truk,Versorgungs-Lkw
tsla,Tesla-Spule
ttnk,Tesla-Panzer
v2rl,V2-Raketenwerfer
volk,Volkov
weaf,Attrappe: Waffenfabrik
weap,Waffenfabrik
yak,Yak-Kampfflugzeug
zombie,Zombie
