key,de,en
1tnk,"Schneller Panzer, gut zum Aufklären.\nStark gegen leichte Fahrzeuge\nSchwach gegen Infanterie, Panzer und Flugzeuge","Fast tank; good for scouting.\nStrong vs Light armor\nWeak vs Infantry, Tanks and Aircraft"
2tnk,Alliierter Hauptkampfpanzer.\nStark gegen Fahrzeuge\nSchwach gegen Infanterie und Flugzeuge,Allied Main Battle Tank.\nStrong vs Vehicles\nWeak vs Infantry and Aircraft
3tnk,Sowjetischer Hauptkampfpanzer mit Doppelkanone.\nStark gegen Fahrzeuge\nSchwach gegen Infanterie und Flugzeuge,Soviet Main Battle Tank with dual cannons.\nStrong vs Vehicles\nWeak vs Infantry and Aircraft
4tnk,"Großer, langsamer Panzer mit Flugabwehr. Kann Betonmauern niederwalzen.\nStark gegen Fahrzeuge, Infanterie und Flugzeuge\nSchwach gegen nichts","Large, slow tank with anti-air capabilities. Can crush concrete walls.\nStrong vs Vehicles, Infantry and Aircraft\nWeak vs Nothing"
afld,Baut und betankt Flugzeuge.\nFähigkeit: Aufklärungsflug; Fallschirmjäger,Produces and reloads aircraft.\nSpecial: Spy Plane; Paratroopers
agun,Flugabwehrstellung. Braucht Strom.\nStark gegen Flugzeuge\nSchwach gegen Bodeneinheiten,Anti-Air base defense. Requires power to operate.\nStrong vs Aircraft\nWeak vs Ground units
ant,"Verstrahltes Insekt, zu abnormer Größe herangewachsen.",Irradiated insect that grew to an abnormally large size.
apc,Robuster Infanterietransporter.\nStark gegen Infanterie und leichte Fahrzeuge\nSchwach gegen Panzer und Flugzeuge,Tough infantry transport.\nStrong vs Infantry and Light armor\nWeak vs Tanks and Aircraft
apwr,Liefert doppelt so viel Strom wie ein Kraftwerk.,Provides double the power of a standard Power Plant.
arty,Artillerie mit großer Reichweite.\nStark gegen Infanterie und Gebäude\nSchwach gegen Fahrzeuge und Flugzeuge,Long-range artillery.\nStrong vs Infantry and Buildings\nWeak vs Vehicles and Aircraft
atef,Sieht aus wie ein Alliiertes Tech-Zentrum.,Looks like an Allied Tech Center.
atek,Liefert fortschrittliche alliierte Technologie.\nFähigkeit: GPS-Satellit,Provides advanced Allied technology.\nSpecial: GPS Satellite
barr,Bildet Infanterie aus.,Trains infantry units.
bio,"Erobern, um Biolabor-Einheiten zu bauen.",Capture to produce Bio-Lab units.
brik,Hält Einheiten auf und blockiert feindliches Feuer.,Stops units and blocks enemy fire.
ca,Sehr langsames Schiff mit großer Reichweite.\nStark gegen Gebäude und Bodeneinheiten\nSchwach gegen Schiffe und Flugzeuge,Very slow long-range ship.\nStrong vs Buildings and Ground units\nWeak vs Naval units and Aircraft
ctnk,Bewaffnet mit Boden-Boden-Raketen. Teleportiert sich in Reichweite.\nStark gegen Fahrzeuge und Gebäude\nSchwach gegen Infanterie und Flugzeuge\nFähigkeit: Kann teleportieren,Armed with anti-ground missiles. Teleports to any area within range.\nStrong vs Vehicles and Buildings\nWeak vs Infantry and Aircraft\nSpecial: Can teleport
dd,"Schnelles Mehrzweckschiff. Kann U-Boote aufspüren.\nStark gegen Schiffe, Fahrzeuge und Flugzeuge\nSchwach gegen Infanterie","Fast multi-role ship. Can detect submarines.\nStrong vs Naval units, Vehicles and Aircraft\nWeak vs Infantry"
dog,Einheit gegen Infanterie. Kann Spione aufspüren.\nStark gegen Infanterie\nSchwach gegen Fahrzeuge und Flugzeuge,Anti-infantry unit. Can detect spies.\nStrong vs Infantry\nWeak vs Vehicles and Aircraft
dome,Gibt einen Überblick über das Schlachtfeld. Braucht Strom.,Provides an overview of the battlefield. Requires power to operate.
domf,Sieht aus wie eine Radarkuppel.,Looks like a Radar Dome.
dtrk,Lkw mit scharfem Atomsprengsatz und sehr schwacher Panzerung.,"Truck carrying armed nuclear explosives, with very weak armor."
e1,Infanterie für alle Zwecke.\nStark gegen Infanterie\nSchwach gegen Fahrzeuge und Flugzeuge,General-purpose infantry.\nStrong vs Infantry\nWeak vs Vehicles and Aircraft
e2,Infanterie mit Granaten.\nStark gegen Gebäude und Infanterie\nSchwach gegen Fahrzeuge und Flugzeuge,Infantry with grenades.\nStrong vs Buildings and Infantry\nWeak vs Vehicles and Aircraft
e3,Infanterie gegen Panzer und Flugzeuge.\nStark gegen Fahrzeuge und Flugzeuge\nSchwach gegen Infanterie,Anti-tank/Anti-aircraft infantry.\nStrong vs Vehicles and Aircraft\nWeak vs Infantry
e4,Fortschrittliche Einheit gegen Gebäude.\nStark gegen Infanterie und Gebäude\nSchwach gegen Fahrzeuge und Flugzeuge,Advanced anti-structure unit.\nStrong vs Infantry and Buildings\nWeak vs Vehicles and Aircraft
e6,Infiltriert und erobert feindliche Gebäude.\nUnbewaffnet,Infiltrates and captures enemy structures.\nUnarmed
e7,Elite-Kommando mit zwei Pistolen und C4. Nur eine kann gebaut werden.\nStark gegen Infanterie und Gebäude\nSchwach gegen Fahrzeuge und Flugzeuge\nFähigkeit: Sprengt Gebäude mit C4,"Elite commando infantry, with dual pistols and C4. Maximum of one can be built.\nStrong vs Infantry and Buildings\nWeak vs Vehicles and Aircraft\nSpecial: Destroys buildings with C4"
e7.noautotarget,Elite-Kommando mit zwei Pistolen und C4. Nur eine kann gebaut werden.\nStark gegen Infanterie und Gebäude\nSchwach gegen Fahrzeuge und Flugzeuge\nFähigkeit: Sprengt Gebäude mit C4,"Elite commando infantry, with dual pistols and C4. Maximum of one can be built.\nStrong vs Infantry and Buildings\nWeak vs Vehicles and Aircraft\nSpecial: Destroys buildings with C4"
facf,Sieht aus wie ein Bauhof.,Looks like a Construction Yard.
fact,Baut Gebäude.,Produces structures.
fapw,Sieht aus wie ein Fortschrittliches Kraftwerk.,Looks like an Advanced Power Plant.
fcom,"Erobern, um bebaubare Fläche zu erhalten.",Capture to give buildable area.
fenc,Hält Infanterie und leichte Fahrzeuge auf. Von Panzern niederwalzbar.,Stops infantry and light vehicles. Can be crushed by tanks.
fix,Repariert Fahrzeuge gegen Credits.,Repairs vehicles for credits.
fixf,Sieht aus wie eine Reparaturwerkstatt.,Looks like a Service Depot.
fpwr,Sieht aus wie ein Kraftwerk.,Looks like a Power Plant.
ftrk,"Mobile Einheit mit Flak-Kanone.\nStark gegen Infanterie, leichte Fahrzeuge und Flugzeuge\nSchwach gegen Panzer","Mobile unit with a Flak cannon.\nStrong vs Infantry, Light armor and Aircraft\nWeak vs Tanks"
ftur,Verteidigung gegen Infanterie. Kann getarnte Einheiten aufspüren.\nStark gegen Infanterie und leichte Fahrzeuge\nSchwach gegen Panzer und Flugzeuge,Anti-Infantry base defense. Can detect cloaked units.\nStrong vs Infantry and Light armor\nWeak vs Tanks and Aircraft
gap,Verdeckt die Sicht des Gegners mit Nebel. Braucht Strom.,Obscures the enemy's view with shroud. Requires power to operate.
gun,Verteidigung gegen Panzerung. Kann getarnte Einheiten aufspüren.\nStark gegen Fahrzeuge\nSchwach gegen Infanterie und Flugzeuge,Anti-Armor base defense. Can detect cloaked units.\nStrong vs Vehicles\nWeak vs Infantry and Aircraft
harv,Sammelt Erz und Edelsteine zur Verarbeitung.\nUnbewaffnet,Collects Ore and Gems for processing.\nUnarmed
hbox,Getarnte Bunkerstellung mit Schießscharte für einen Soldaten. Kann getarnte Einheiten aufspüren.\nStark gegen Infanterie und leichte Fahrzeuge\nSchwach gegen Panzer und Flugzeuge,Camouflaged static defense with a fireport for a garrisoned soldier. Can detect cloaked units.\nStrong vs Infantry and Light armor\nWeak vs Tanks and Aircraft
heli,"Kampfhubschrauber mit Mehrzweckraketen.\nStark gegen Gebäude, Fahrzeuge und Flugzeuge\nSchwach gegen Infanterie","Helicopter gunship with multi-purpose missiles.\nStrong vs Buildings, Vehicles and Aircraft\nWeak vs Infantry"
hind,Kampfhubschrauber mit zwei Bordkanonen.\nStark gegen Infanterie und leichte Fahrzeuge\nSchwach gegen Panzer und Flugzeuge,Helicopter gunship with dual chain guns.\nStrong vs Infantry and Light armor\nWeak vs Tanks and Aircraft
hosp,"Erobern, damit sich Infanterie selbst heilt.",Capture to enable self-healing for infantry.
hpad,Baut und betankt Hubschrauber.,Produces and reloads helicopters.
iron,Macht eine Gruppe Einheiten vorübergehend unverwundbar. Braucht Strom. Nur einer kann gebaut werden.\nFähigkeit: Unverwundbarkeit,Grants a group of units temporary invulnerability. Requires power to operate. Maximum of one can be built.\nSpecial: Invulnerability
jeep,Schneller Aufklärer gegen Infanterie. Trägt genau einen Infanteristen.\nStark gegen Infanterie\nSchwach gegen Fahrzeuge und Flugzeuge,Fast scout and anti-infantry vehicle. Can carry just one infantry unit.\nStrong vs Infantry\nWeak vs Vehicles and Aircraft
